group,period,variant,annual_return,sharpe_ratio,max_drawdown,final_value,trade_count
window_scan,2026_NOWARMUP,5d,1.5263029927594987,3.843208774148988,-0.20964204238090145,1310152.7563689402,214
window_scan,2026_NOWARMUP,10d,1.459234424223296,3.785253182774073,-0.20323895996242014,1256763.5749327336,233
window_scan,2026_NOWARMUP,15d,1.4420075482998096,3.603645549256246,-0.18998145180506254,1238045.218506446,245
window_scan,2026_NOWARMUP,20d,1.1697640486127905,3.0419821447281397,-0.19719640438794883,1037095.4343230125,244
window_scan,2026_NOWARMUP,30d,1.0999362089234566,3.049679018833292,-0.15999587095886392,996130.3826591572,266
window_scan,2026_NOWARMUP,60d,0.9913048671447983,2.920966397561363,-0.17307581829489238,931113.7122562733,275
window_scan,LONG_2013_2026,5d,0.3473501953735191,1.3428538306233226,-0.25255312058567636,25340171.893365763,4849
window_scan,LONG_2013_2026,10d,0.3480403469533902,1.3805871963569911,-0.3641437855208487,26106970.852940865,4875
window_scan,LONG_2013_2026,15d,0.39805814981244153,1.5694845949151905,-0.25438716680417983,48555144.9154205,5041
window_scan,LONG_2013_2026,20d,0.3582902612802364,1.4473446755064743,-0.23578439082443026,30077118.682477545,5074
window_scan,LONG_2013_2026,30d,0.3203810616357047,1.347602100149605,-0.2126846226709277,19303241.58133297,4940
window_scan,LONG_2013_2026,60d,0.2577171565363528,1.1131797220264081,-0.32896909765615,8976197.583155014,4846
threshold_baseline,2026_NOWARMUP,Dynamic ratio 0.5,0.9185544779517901,3.2996043001117132,-0.1576248773716744,898160.3702469056,347
threshold_baseline,2026_NOWARMUP,Fixed threshold 0.1,0.9185544779517901,3.2996043001117132,-0.1576248773716744,898160.3702469056,347
threshold_baseline,2026_NOWARMUP,Rolling P60,0.5202328962897206,1.6538455863351182,-0.18961072033890014,684321.3652301007,177
threshold_baseline,LONG_2013_2026,Dynamic ratio 0.5,0.2901293434750836,1.467531883477512,-0.1897816639348089,14731909.089095773,7562
threshold_baseline,LONG_2013_2026,Fixed threshold 0.1,0.2901293434750836,1.467531883477512,-0.1897816639348089,14731909.089095773,7562
threshold_baseline,LONG_2013_2026,Rolling P60,0.3246264586878664,1.321380380514855,-0.25292002486376375,19847303.936502572,4292
wide_ab,2026_NOWARMUP,Current,1.4420075482998096,3.603645549256246,-0.18998145180506254,1238045.218506446,245
wide_ab,2026_NOWARMUP,WideA,1.1515087769925816,3.3932528719348345,-0.1633325584236034,1035665.8003176445,288
wide_ab,2026_NOWARMUP,WideB,1.0116542331436431,3.2591499986885166,-0.17152747225359466,949552.6563913291,321
wide_ab,LONG_2013_2026,Current,0.39805814981244153,1.5694845949151905,-0.25438716680417983,48555144.9154205,5041
wide_ab,LONG_2013_2026,WideA,0.3711889510314969,1.6210120376852388,-0.19660448902351257,37363493.65736006,5877
wide_ab,LONG_2013_2026,WideB,0.32811233949073054,1.5199322100824777,-0.2180144175586507,22590141.58738125,6601
v3_exp_hold,2026_NOWARMUP,Exph_base,0.7996298906379665,3.2017571761509105,-0.13071813347626793,834128.9727332233,322
v3_exp_hold,2026_NOWARMUP,Exph_v2_lower_bear,0.7213884270895566,3.1630086262863935,-0.11864730617225239,794573.6246354298,331
v3_exp_hold,2026_NOWARMUP,Exph_v3,0.8766257064456995,3.665620004915812,-0.11836193566704456,879433.2284765313,358
v3_exp_hold,2026_NOWARMUP,Exph_v4_smoother,0.8361662216250321,3.2036867636915245,-0.13648146967338526,853004.650554362,326
v3_exp_hold,2026_NOWARMUP,Exph_v5_div_lowbear,0.7574512120594608,3.3664222671398663,-0.11560572308940686,814228.631596415,337
v3_exp_hold,2026_NOWARMUP,Exph_v6_very_high_div,0.8237634097841372,3.635688800445773,-0.11884063476323836,850712.5418380813,369
v3_exp_hold,LONG_2013_2026,Exph_base,0.2607122103893438,1.4271105352331768,-0.18291187643747375,10573092.631553695,7683
v3_exp_hold,LONG_2013_2026,Exph_v2_lower_bear,0.23366298995580626,1.333999279940756,-0.19285697249552058,7668726.288924413,7809
v3_exp_hold,LONG_2013_2026,Exph_v3,0.26142079372572624,1.4718049509610738,-0.1753453032110308,10789966.557361152,8332
v3_exp_hold,LONG_2013_2026,Exph_v4_smoother,0.26939716742840736,1.446149109250101,-0.17649216503929321,11687466.475159777,7706
v3_exp_hold,LONG_2013_2026,Exph_v5_div_lowbear,0.2345562011726035,1.3652545364132342,-0.17292164792460152,7811795.4957512515,7931
v3_exp_hold,LONG_2013_2026,Exph_v6_very_high_div,0.2495639043460243,1.420165389618783,-0.18255730991812913,9342331.183189984,8692
